 node_id,x_nm,y_nm,z_nm,phi_mV
55,7.41082219051,-0.580457495244,6.18888020993,18.8499477830
56,7.34310937957,-0.531261258407,6.07567334883,16.5099281021
57,7.28189103542,-0.486783527889,5.95695042050,14.6630476466
58,8.58616877741,-1.59980322423,6.95332995384,-50.7957725886
59,8.47288238362,-1.68211060716,6.93874312478,-83.7687265438
60,8.36068303974,-1.76362820210,6.91450932957,-75.1706917086
61,8.25010776393,-1.84396584253,6.88074455809,-21.6356853394
62,8.14168580109,-1.92273900950,6.83761041819,39.4254365458
63,8.03593608978,-1.99957067209,6.78531336221,118.394568845
64,7.93336477837,-2.07409309198,6.72410369882,155.516347420
65,7.83446280250,-2.14594958355,6.65427439500,96.8980946277
66,7.73970353534,-2.21479622107,6.57615967376,58.7330310808
67,7.64954052186,-2.28030348482,6.49013341452,41.5401459558
68,7.56440530803,-2.34215783830,6.39660736357,34.1225130231
69,7.48470537535,-2.40006322886,6.29602916336,32.2645619753
70,7.41082219051,-2.45374250476,6.18888020993,35.3052572731
71,7.34310937957,-2.50293874159,6.07567334883,44.9051949304
72,7.28189103542,-2.54741647211,5.95695042050,65.1519185626
73,8.74347965805,-1.65091662778,6.95332995384,-35.9542656455
74,8.78675121001,-1.78409277088,6.93874312478,-41.2339231993
75,8.82960754586,-1.91599101019,6.91450932957,-32.6133097152
76,8.87184354291,-2.04598004297,6.88074455809,-20.2660627466
77,8.91325704758,-2.17343770453,6.83761041819,-11.1275966175
78,8.95364984300,-2.29775394601,6.78531336221,-5.60497840392
79,8.99282859769,-2.41833375433,6.72410369882,-2.53509698088
80,9.03060579092,-2.53460000000,6.65427439500,-0.969923258215
81,9.06680061022,-2.64599619951,6.57615967376,-0.402032629507
82,9.10123981685,-2.75198917877,6.49013341452,-0.740761774466
83,9.13375857489,-2.85207162505,6.39660736357,-2.37510021320
84,9.16420124027,-2.94576451512,6.29602916336,-6.40198756310
85,9.19242210568,-3.03261940800,6.18888020993,-14.8384266730
86,9.21828609799,-3.11222059132,6.07567334883,-29.4183412612
87,9.24166942472,-3.18418707104,5.95695042050,-45.0222010941
88,10.5667103023,-1.43439677577,5.72928797532,-7.30041298105
89,10.6043266613,-1.35208939284,5.62143811608,-11.6040122548
90,10.6328283679,-1.27057179790,5.51024628941,-4.81475361438
91,10.6520790048,-1.19023415747,5.39624469121,21.5316165074
92,10.6619864331,-1.11146099050,5.27997896576,57.3103439919
93,10.6625032328,-1.03462932791,5.16200559408,50.6665858828
94,10.6536269305,-0.960106908017,5.04288923049,29.9268247238
95,10.6354000107,-0.888250416447,4.92320000000,26.2943990449
96,10.6079097125,-0.819403778933,4.80351076951,21.3183735997
97,10.5712876126,-0.753896515182,4.68439440592,10.1782380007
98,10.5257089946,-0.692042161704,4.56642103424,5.86626905139
99,10.4713920110,-0.634136771135,4.45015530879,11.5975886668
100,10.4085966383,-0.580457495244,4.33615371059,17.8930693164
