 node_id,x_nm,y_nm,z_nm,phi_mV
53,2.72322728998,4.56685161656,3.80696096939,-0.612679260784
54,2.65582503734,4.61582221960,3.72190196076,2.09311340075
55,2.59334200976,4.66121879641,3.63128606451,3.24693295131
56,2.53607726891,4.70282406599,3.53554699427,3.31501300130
57,2.48430490023,4.74043889361,3.43514298461,2.80908718037
58,3.58733290709,3.79915786295,4.27778140076,47.5841332679
59,3.49152657603,3.72955048898,4.26544531585,98.6118150110
60,3.39663956334,3.66061103891,4.24495078929,80.0636557421
61,3.30312602541,3.59266947666,4.21639591375,21.9112606559
62,3.21143354481,3.52605099000,4.17991736103,-10.1946647385
63,3.12200098797,3.46107443407,4.13568972794,-22.0150794719
64,3.03525640470,3.39805080526,4.08392470058,-22.8854148715
65,2.95161497941,3.33728175268,4.02487004117,-18.3766319225
66,2.87147704389,3.27905813442,3.95880840223,-11.4459807042
67,2.79522616124,3.22365862537,3.88605597366,-3.44210086151
68,2.72322728998,3.17134838344,3.80696096939,5.11447839346
69,2.65582503734,3.12237778040,3.72190196076,13.8655331075
70,2.59334200976,3.07698120359,3.63128606451,22.2522114246
71,2.53607726891,3.03537593401,3.53554699427,29.3932583994
72,2.48430490023,2.99776110639,3.43514298461,33.2603376311
73,3.72037075749,3.75593124501,4.27778140076,0.374339763909
74,3.75696551962,3.64330414806,4.26544531585,-38.5705164377
75,3.79320913338,3.53175777468,4.24495078929,-99.0710613614
76,3.82892812646,3.42182601771,4.21639591375,-122.314956018
77,3.86395153754,3.31403504202,4.17991736103,-52.6744894647
78,3.89811173455,3.20890076605,4.13568972794,25.6734727122
79,3.93124521702,3.10692639253,4.08392470058,33.4744771831
80,3.96319339861,3.00860000000,4.02487004117,-5.15133472579
81,3.99380336619,2.91439220670,3.95880840223,-36.8587425971
82,4.02292861169,2.82475391810,3.88605597366,-51.1055923680
83,4.05042973336,2.74011416869,3.80696096939,-36.6013825471
84,4.07617510295,2.66087806854,3.72190196076,-12.7018416997
85,4.10004149576,2.58742486429,3.63128606451,0.636029749275
86,4.12191468041,2.52010612400,3.53554699427,4.83435653732
87,4.14168996557,2.45924405441,3.43514298461,5.22972677482
88,5.26227736131,3.93904213705,3.24260879878,-58.5607566999
89,5.29408952532,4.00864951102,3.15140014632,-72.6667294781
90,5.31819342561,4.07758896109,3.05736519119,-88.6113796316
91,5.33447369401,4.14553052334,2.96095401158,-95.0883985454
92,5.34285240851,4.21214901000,2.86262805900,-55.0064986087
93,5.34328946618,4.27712556593,2.76285794959,33.8134334261
94,5.33578277513,4.34014919474,2.66212121164,81.1074725299
95,5.32036826454,4.40091824732,2.56090000000,50.6697850243
96,5.29711971267,4.45914186558,2.45967878836,23.8564606600
97,5.26614839374,4.51454137463,2.35894205041,11.4154710789
98,5.22760254533,4.56685161656,2.25917194100,7.23462995372
99,5.18166665892,4.61582221960,2.16084598842,8.33032318493
